127.0.0.1 - - [20/Apr/2016:17:06:08 -0700] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [20/Apr/2016:17:06:17 -0700] "GET /CloudProjectBasic/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Apr/2016:17:06:37 -0700] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [20/Apr/2016:17:06:37 -0700] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [20/Apr/2016:17:06:47 -0700] "GET /CloudProjectBasic/EmployeeLogin.jsp HTTP/1.1" 200 1297
0:0:0:0:0:0:0:1 - - [20/Apr/2016:17:06:48 -0700] "GET /CloudProjectBasic/form/css HTTP/1.1" 404 1046
0:0:0:0:0:0:0:1 - - [20/Apr/2016:17:06:48 -0700] "GET /CloudProjectBasic/js/index.js HTTP/1.1" 404 1052
0:0:0:0:0:0:0:1 - - [20/Apr/2016:17:06:48 -0700] "GET /CloudProjectBasic/js/index.js HTTP/1.1" 404 1052
0:0:0:0:0:0:0:1 - - [20/Apr/2016:17:06:55 -0700] "GET /CloudProjectBasic/AppLoginController?user=appProv&username=dmurphy%40classiccarmodels.com&password=admin123 HTTP/1.1" 200 32
0:0:0:0:0:0:0:1 - - [20/Apr/2016:17:07:05 -0700] "GET /CloudProjectBasic/AppLoginController?user=appProv&username=dmurphy%40classiccarmodels.com&password=admin2 HTTP/1.1" 200 32
0:0:0:0:0:0:0:1 - - [20/Apr/2016:17:07:21 -0700] "GET /CloudProjectBasic/AppLoginController?user=appProv&username=dmurphy%40classicmodelcars.com&password=admin2 HTTP/1.1" 200 32
0:0:0:0:0:0:0:1 - - [20/Apr/2016:17:07:34 -0700] "GET /CloudProjectBasic/AppLoginController?user=appProv&username=dmurphy%40classicmodelcars.com&password=admin2 HTTP/1.1" 200 32
0:0:0:0:0:0:0:1 - - [20/Apr/2016:17:09:00 -0700] "GET /CloudProjectBasic/AppLoginController?user=appProv&username=dmurphy%40classicmodelcars.com&password=admin1 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [20/Apr/2016:17:09:00 -0700] "GET /CloudProjectBasic/ConsoleEmployeeHome.jsp HTTP/1.1" 200 4487
0:0:0:0:0:0:0:1 - - [20/Apr/2016:17:09:01 -0700] "GET /CloudProjectBasic/font-awesome/css/font-awesome.min.css HTTP/1.1" 404 1104
0:0:0:0:0:0:0:1 - - [20/Apr/2016:17:09:01 -0700] "GET /CloudProjectBasic/js/jquery.js HTTP/1.1" 404 1054
0:0:0:0:0:0:0:1 - - [20/Apr/2016:17:09:01 -0700] "GET /CloudProjectBasic/js/bootstrap.min.js HTTP/1.1" 404 1068
0:0:0:0:0:0:0:1 - - [20/Apr/2016:17:09:01 -0700] "GET /CloudProjectBasic/js/bootstrap.min.js HTTP/1.1" 404 1068
0:0:0:0:0:0:0:1 - - [20/Apr/2016:17:09:10 -0700] "GET /CloudProjectBasic/ConsoleEmployeeDetailsController HTTP/1.1" 200 3795
0:0:0:0:0:0:0:1 - - [20/Apr/2016:17:09:10 -0700] "GET /CloudProjectBasic/js/jquery.js HTTP/1.1" 404 1054
0:0:0:0:0:0:0:1 - - [20/Apr/2016:17:09:10 -0700] "GET /CloudProjectBasic/js/bootstrap.min.js HTTP/1.1" 404 1068
0:0:0:0:0:0:0:1 - - [20/Apr/2016:17:09:10 -0700] "GET /CloudProjectBasic/js/bootstrap.min.js HTTP/1.1" 404 1068
0:0:0:0:0:0:0:1 - - [20/Apr/2016:17:09:10 -0700] "GET /CloudProjectBasic/css/font-awesome.min.css%22 HTTP/1.1" 404 1084
0:0:0:0:0:0:0:1 - - [20/Apr/2016:17:09:46 -0700] "GET /CloudProjectBasic/AppLoginController?user=appProv&username=mpatterso%40classicmodelcars.com&password=admin2 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [20/Apr/2016:17:09:46 -0700] "GET /CloudProjectBasic/ConsoleEmployeeHome.jsp HTTP/1.1" 200 4491
0:0:0:0:0:0:0:1 - - [20/Apr/2016:17:09:46 -0700] "GET /CloudProjectBasic/font-awesome/css/font-awesome.min.css HTTP/1.1" 404 1104
0:0:0:0:0:0:0:1 - - [20/Apr/2016:17:09:46 -0700] "GET /CloudProjectBasic/js/bootstrap.min.js HTTP/1.1" 404 1068
0:0:0:0:0:0:0:1 - - [20/Apr/2016:17:09:46 -0700] "GET /CloudProjectBasic/js/jquery.js HTTP/1.1" 404 1054
0:0:0:0:0:0:0:1 - - [20/Apr/2016:17:09:47 -0700] "GET /CloudProjectBasic/js/bootstrap.min.js HTTP/1.1" 404 1068
0:0:0:0:0:0:0:1 - - [20/Apr/2016:17:09:48 -0700] "GET /CloudProjectBasic/ConsoleEmployeeDetailsController HTTP/1.1" 200 5208
0:0:0:0:0:0:0:1 - - [20/Apr/2016:17:09:48 -0700] "GET /CloudProjectBasic/css/font-awesome.min.css%22 HTTP/1.1" 404 1084
0:0:0:0:0:0:0:1 - - [20/Apr/2016:17:09:48 -0700] "GET /CloudProjectBasic/js/bootstrap.min.js HTTP/1.1" 404 1068
0:0:0:0:0:0:0:1 - - [20/Apr/2016:17:09:48 -0700] "GET /CloudProjectBasic/js/jquery.js HTTP/1.1" 404 1054
0:0:0:0:0:0:0:1 - - [20/Apr/2016:17:09:48 -0700] "GET /CloudProjectBasic/js/bootstrap.min.js HTTP/1.1" 404 1068
0:0:0:0:0:0:0:1 - - [20/Apr/2016:17:11:26 -0700] "GET /Home_page.html HTTP/1.1" 404 1022
0:0:0:0:0:0:0:1 - - [20/Apr/2016:17:11:32 -0700] "GET /CloudProjectBasic/home_page.html HTTP/1.1" 404 1058
0:0:0:0:0:0:0:1 - - [20/Apr/2016:17:11:44 -0700] "GET /CloudProjectBasic/Home_page.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Apr/2016:17:11:48 -0700] "GET /CloudProjectBasic/EmployeeLogin.jsp HTTP/1.1" 200 1297
0:0:0:0:0:0:0:1 - - [20/Apr/2016:17:11:48 -0700] "GET /CloudProjectBasic/js/index.js HTTP/1.1" 404 1052
0:0:0:0:0:0:0:1 - - [20/Apr/2016:17:11:48 -0700] "GET /CloudProjectBasic/form/css HTTP/1.1" 404 1046
0:0:0:0:0:0:0:1 - - [20/Apr/2016:17:11:48 -0700] "GET /CloudProjectBasic/js/index.js HTTP/1.1" 404 1052
0:0:0:0:0:0:0:1 - - [20/Apr/2016:17:12:09 -0700] "GET /CloudProjectBasic/AppLoginController?user=appProv&username=jfirelli%40classicmodelcars.com&password=admin3 HTTP/1.1" 200 32
0:0:0:0:0:0:0:1 - - [20/Apr/2016:17:12:42 -0700] "GET /CloudProjectBasic/AppLoginController?user=appProv&username=jfirelli%40classicmodelcars.com&password=admin3 HTTP/1.1" 200 32
0:0:0:0:0:0:0:1 - - [20/Apr/2016:17:13:11 -0700] "GET /CloudProjectBasic/AppLoginController?user=appProv&username=jfirelli%40classicmodelcars.com&password=admin3 HTTP/1.1" 200 32
